Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
03/09/2020;Îles Féroé;412;0;379;0.00;91.99;8.01
03/09/2020;Fidji;29;2;23;6.90;79.31;13.79
03/09/2020;Finlande;8200;336;7350;4.10;89.63;6.27
03/09/2020;Éthiopie;55213;856;20283;1.55;36.74;61.71
03/09/2020;Espagne;488513;29234;150376;5.98;30.78;63.23
03/09/2020;Érythrée;330;0;295;0.00;89.39;10.61
03/09/2020;Sahara Occidental;10;1;8;10.00;80.00;10.00
03/09/2020;Égypte;99425;5479;75415;5.51;75.85;18.64
03/09/2020;Estonie;2441;64;2150;2.62;88.08;9.30
03/09/2020;Équateur;116360;6648;102051;5.71;87.70;6.58
03/09/2020;Algérie;45469;1529;32006;3.36;70.39;26.25
03/09/2020;République Dominicaine;96629;1801;70871;1.86;73.34;24.79
03/09/2020;Dominique;20;0;18;0.00;90.00;10.00
03/09/2020;Danemark;17388;626;15513;3.60;89.22;7.18
03/09/2020;Djibouti;5387;60;5327;1.11;98.89;0.00
03/09/2020;Allemagne;248840;9322;221525;3.75;89.02;7.23
03/09/2020;République Tchèque;26452;426;18663;1.61;70.55;27.84
03/09/2020;Chypre;1498;21;1139;1.40;76.03;22.56
03/09/2020;Cap-vert;4125;41;3502;0.99;84.90;14.11
03/09/2020;Cuba;4214;100;3474;2.37;82.44;15.19
03/09/2020;Costa Rica;44458;460;17855;1.03;40.16;58.80
03/09/2020;Colombie;641574;20618;489151;3.21;76.24;20.54
03/09/2020;Chine;85102;4634;80260;5.45;94.31;0.24
03/09/2020;Cameroun;19604;415;18448;2.12;94.10;3.78
03/09/2020;Chili;416501;11422;389409;2.74;93.50;3.76
03/09/2020;Côte d'Ivoire;18208;119;17045;0.65;93.61;5.73
03/09/2020;Suisse;43127;2013;36500;4.67;84.63;10.70
03/09/2020;Congo (Brazzaville);4628;102;1742;2.20;37.64;60.16
03/09/2020;République Centrafricaine;4729;62;1807;1.31;38.21;60.48
03/09/2020;Rép. Dém. du Congo;10125;259;9367;2.56;92.51;4.93
03/09/2020;Canada;132527;9189;117277;6.93;88.49;4.57
03/09/2020;Belize;1101;13;240;1.18;21.80;77.02
03/09/2020;Bélarus;72302;696;71205;0.96;98.48;0.55
03/09/2020;Botswana;1724;6;493;0.35;28.60;71.06
03/09/2020;Bhoutan;227;0;150;0.00;66.08;33.92
03/09/2020;Bahamas;2386;50;893;2.10;37.43;60.48
03/09/2020;Brésil;4041638;124614;3429435;3.08;84.85;12.06
03/09/2020;Bolivie;118781;5288;65884;4.45;55.47;40.08
03/09/2020;Brunéi Darussalam;145;3;139;2.07;95.86;2.07
03/09/2020;Saint Barthélemy;18;0;13;0.00;72.22;27.78
03/09/2020;Bénin;2194;40;1738;1.82;79.22;18.96
03/09/2020;Burundi;448;1;357;0.22;79.69;20.09
03/09/2020;Bahreïn;53433;190;50013;0.36;93.60;6.04
03/09/2020;Bulgarie;16775;658;11935;3.92;71.15;24.93
03/09/2020;Burkina Faso;1375;55;1075;4.00;78.18;17.82
03/09/2020;Belgique;86544;9899;18513;11.44;21.39;67.17
03/09/2020;Bangladesh;319686;4383;213980;1.37;66.93;31.69
03/09/2020;Barbade;177;7;150;3.95;84.75;11.30
03/09/2020;Bosnie-Herzégovine;20804;636;14120;3.06;67.87;29.07
03/09/2020;Azerbaïdjan;36899;541;34264;1.47;92.86;5.67
03/09/2020;Australie;26136;737;21912;2.82;83.84;13.34
03/09/2020;Autriche;28372;735;24171;2.59;85.19;12.22
03/09/2020;Argentine;451198;9361;322461;2.07;71.47;26.46
03/09/2020;Angola;2805;113;1144;4.03;40.78;55.19
03/09/2020;Arménie;44271;887;38855;2.00;87.77;10.23
03/09/2020;Albanie;9844;301;5732;3.06;58.23;38.71
03/09/2020;Antigua-et-Barbuda;95;3;91;3.16;95.79;1.05
03/09/2020;Afghanistan;38288;1409;29390;3.68;76.76;19.56
03/09/2020;Émirats Arabes Unis;72154;387;62668;0.54;86.85;12.61
03/09/2020;Andorre;1199;53;909;4.42;75.81;19.77
02/09/2020;Andorre;1199;53;909;4.42;75.81;19.77
02/09/2020;Émirats Arabes Unis;71540;387;62029;0.54;86.71;12.75
02/09/2020;Afghanistan;38243;1409;29315;3.68;76.65;19.66
02/09/2020;Antigua-et-Barbuda;94;3;91;3.19;96.81;0.00
02/09/2020;Albanie;9728;296;5582;3.04;57.38;39.58
02/09/2020;Arménie;44075;884;38631;2.01;87.65;10.35
02/09/2020;Angola;2777;112;1115;4.03;40.15;55.82
02/09/2020;Argentine;439172;9118;315530;2.08;71.85;26.08
02/09/2020;Autriche;27969;734;23820;2.62;85.17;12.21
02/09/2020;Australie;26049;678;21690;2.60;83.27;14.13
02/09/2020;Azerbaïdjan;36732;538;34116;1.46;92.88;5.66
02/09/2020;Bosnie-Herzégovine;20517;627;13626;3.06;66.41;30.53
02/09/2020;Barbade;176;7;149;3.98;84.66;11.36
02/09/2020;Bangladesh;317528;4351;211016;1.37;66.46;32.17
02/09/2020;Belgique;85911;9898;18490;11.52;21.52;66.96
02/09/2020;Burkina Faso;1370;55;1075;4.01;78.47;17.52
02/09/2020;Bulgarie;16617;648;11760;3.90;70.77;25.33
02/09/2020;Bahreïn;52807;190;49645;0.36;94.01;5.63
02/09/2020;Burundi;448;1;357;0.22;79.69;20.09
02/09/2020;Bénin;2194;40;1738;1.82;79.22;18.96
02/09/2020;Saint Barthélemy;18;0;13;0.00;72.22;27.78
02/09/2020;Brunéi Darussalam;144;3;139;2.08;96.53;1.39
02/09/2020;Bolivie;117928;5203;64074;4.41;54.33;41.25
02/09/2020;Brésil;3997865;123780;3387309;3.10;84.73;12.18
02/09/2020;Bahamas;2337;50;849;2.14;36.33;61.53
02/09/2020;Bhoutan;227;0;144;0.00;63.44;36.56
02/09/2020;Botswana;1724;6;493;0.35;28.60;71.06
02/09/2020;Bélarus;72141;691;70900;0.96;98.28;0.76
02/09/2020;Belize;1101;13;240;1.18;21.80;77.02
02/09/2020;Canada;131941;9182;116866;6.96;88.57;4.47
02/09/2020;Rép. Dém. du Congo;10114;259;9347;2.56;92.42;5.02
02/09/2020;République Centrafricaine;4712;62;1803;1.32;38.26;60.42
02/09/2020;Congo (Brazzaville);4628;102;1742;2.20;37.64;60.16
02/09/2020;Suisse;42763;2011;36500;4.70;85.35;9.94
02/09/2020;Côte d'Ivoire;18161;117;16933;0.64;93.24;6.12
02/09/2020;Chili;414739;11344;387683;2.74;93.48;3.79
02/09/2020;Cameroun;19460;415;17651;2.13;90.70;7.16
02/09/2020;Chine;85077;4634;80248;5.45;94.32;0.23
02/09/2020;Colombie;633321;20345;479567;3.21;75.72;21.06
02/09/2020;Costa Rica;43305;453;16512;1.05;38.13;60.82
02/09/2020;Cuba;4126;98;3458;2.38;83.81;13.81
02/09/2020;Cap-vert;4048;41;3460;1.01;85.47;13.51
02/09/2020;Chypre;1495;21;1139;1.40;76.19;22.41
02/09/2020;République Tchèque;25773;425;18326;1.65;71.11;27.25
02/09/2020;Allemagne;247411;9322;219904;3.77;88.88;7.35
02/09/2020;Djibouti;5387;60;5327;1.11;98.89;0.00
02/09/2020;Danemark;17209;626;15427;3.64;89.64;6.72
02/09/2020;Dominique;20;0;18;0.00;90.00;10.00
02/09/2020;République Dominicaine;95627;1765;69519;1.85;72.70;25.46
02/09/2020;Algérie;45158;1523;31746;3.37;70.30;26.33
02/09/2020;Équateur;115457;6619;101867;5.73;88.23;6.04
02/09/2020;Estonie;2415;64;2130;2.65;88.20;9.15
02/09/2020;Égypte;99280;5461;74626;5.50;75.17;19.33
02/09/2020;Sahara Occidental;10;1;8;10.00;80.00;10.00
